state_name,death_year,death_count
ALABAMA,2015,20
ALABAMA,2016,118
ALABAMA,2017,116
ALABAMA,2018,125
ALABAMA,2019,129
ALASKA,2015,3
ALASKA,2016,10
ALASKA,2017,9
ALASKA,2018,11
ALASKA,2019,3
ARIZONA,2015,26
ARIZONA,2016,126
ARIZONA,2017,133
ARIZONA,2018,131
ARIZONA,2019,114
ARKANSAS,2015,14
ARKANSAS,2016,71
ARKANSAS,2017,81
ARKANSAS,2018,76
ARKANSAS,2019,76
CALIFORNIA,2015,79
CALIFORNIA,2016,334
CALIFORNIA,2017,384
CALIFORNIA,2018,449
CALIFORNIA,2019,398
COLORADO,2015,19
COLORADO,2016,57
COLORADO,2017,41
COLORADO,2018,55
COLORADO,2019,49
CONNECTICUT,2015,4
CONNECTICUT,2016,17
CONNECTICUT,2017,14
CONNECTICUT,2018,28
CONNECTICUT,2019,19
DELAWARE,2015,3
DELAWARE,2016,14
DELAWARE,2017,10
DELAWARE,2018,16
DELAWARE,2019,13
FLORIDA,2015,96
FLORIDA,2016,356
FLORIDA,2017,428
FLORIDA,2018,440
FLORIDA,2019,400
GEORGIA,2015,31
GEORGIA,2016,133
GEORGIA,2017,173
GEORGIA,2018,163
GEORGIA,2019,157
HAWAII,2015,1
HAWAII,2016,9
HAWAII,2017,4
HAWAII,2018,6
HAWAII,2019,9
IDAHO,2015,4
IDAHO,2016,16
IDAHO,2017,15
IDAHO,2018,22
IDAHO,2019,25
ILLINOIS,2015,29
ILLINOIS,2016,90
ILLINOIS,2017,104
ILLINOIS,2018,83
ILLINOIS,2019,94
INDIANA,2015,23
INDIANA,2016,70
INDIANA,2017,68
INDIANA,2018,67
INDIANA,2019,93
IOWA,2015,6
IOWA,2016,29
IOWA,2017,16
IOWA,2018,19
IOWA,2019,16
KANSAS,2015,5
KANSAS,2016,35
KANSAS,2017,26
KANSAS,2018,33
KANSAS,2019,35
KENTUCKY,2015,13
KENTUCKY,2016,42
KENTUCKY,2017,70
KENTUCKY,2018,50
KENTUCKY,2019,63
LOUISIANA,2015,37
LOUISIANA,2016,128
LOUISIANA,2017,127
LOUISIANA,2018,116
LOUISIANA,2019,102
MAINE,2016,5
MAINE,2017,4
MAINE,2018,8
MAINE,2019,8
MARYLAND,2015,25
MARYLAND,2016,49
MARYLAND,2017,57
MARYLAND,2018,57
MARYLAND,2019,61
MASSACHUSETTS,2015,10
MASSACHUSETTS,2016,34
MASSACHUSETTS,2017,37
MASSACHUSETTS,2018,42
MASSACHUSETTS,2019,34
MICHIGAN,2015,34
MICHIGAN,2016,106
MICHIGAN,2017,106
MICHIGAN,2018,135
MICHIGAN,2019,116
MINNESOTA,2015,2
MINNESOTA,2016,18
MINNESOTA,2017,6
MINNESOTA,2018,6
MINNESOTA,2019,10
MISSISSIPPI,2015,9
MISSISSIPPI,2016,65
MISSISSIPPI,2017,76
MISSISSIPPI,2018,76
MISSISSIPPI,2019,73
MISSOURI,2015,19
MISSOURI,2016,99
MISSOURI,2017,94
MISSOURI,2018,106
MISSOURI,2019,84
MONTANA,2015,8
MONTANA,2016,16
MONTANA,2017,13
MONTANA,2018,5
MONTANA,2019,8
NEBRASKA,2015,3
NEBRASKA,2016,9
NEBRASKA,2017,16
NEBRASKA,2018,10
NEBRASKA,2019,17
NEVADA,2015,13
NEVADA,2016,42
NEVADA,2017,47
NEVADA,2018,29
NEVADA,2019,34
NEW HAMPSHIRE,2015,4
NEW HAMPSHIRE,2016,9
NEW HAMPSHIRE,2017,5
NEW HAMPSHIRE,2018,8
NEW HAMPSHIRE,2019,8
NEW JERSEY,2015,13
NEW JERSEY,2016,49
NEW JERSEY,2017,39
NEW JERSEY,2018,33
NEW JERSEY,2019,43
NEW MEXICO,2015,7
NEW MEXICO,2016,16
NEW MEXICO,2017,18
NEW MEXICO,2018,22
NEW MEXICO,2019,18
NEW YORK,2015,29
NEW YORK,2016,147
NEW YORK,2017,143
NEW YORK,2018,138
NEW YORK,2019,112
NORTH CAROLINA,2015,24
NORTH CAROLINA,2016,127
NORTH CAROLINA,2017,104
NORTH CAROLINA,2018,118
NORTH CAROLINA,2019,119
NORTH DAKOTA,2016,4
NORTH DAKOTA,2017,2
NORTH DAKOTA,2019,1
OHIO,2015,27
OHIO,2016,133
OHIO,2017,149
OHIO,2018,151
OHIO,2019,136
OKLAHOMA,2015,18
OKLAHOMA,2016,93
OKLAHOMA,2017,86
OKLAHOMA,2018,113
OKLAHOMA,2019,100
OREGON,2015,8
OREGON,2016,47
OREGON,2017,25
OREGON,2018,34
OREGON,2019,39
PENNSYLVANIA,2015,43
PENNSYLVANIA,2016,171
PENNSYLVANIA,2017,181
PENNSYLVANIA,2018,166
PENNSYLVANIA,2019,157
RHODE ISLAND,2015,2
RHODE ISLAND,2016,2
RHODE ISLAND,2017,8
RHODE ISLAND,2018,5
RHODE ISLAND,2019,3
SOUTH CAROLINA,2015,24
SOUTH CAROLINA,2016,79
SOUTH CAROLINA,2017,105
SOUTH CAROLINA,2018,100
SOUTH CAROLINA,2019,70
SOUTH DAKOTA,2015,2
SOUTH DAKOTA,2016,5
SOUTH DAKOTA,2017,12
SOUTH DAKOTA,2018,6
SOUTH DAKOTA,2019,12
TENNESSEE,2015,32
TENNESSEE,2016,102
TENNESSEE,2017,96
TENNESSEE,2018,121
TENNESSEE,2019,103
TEXAS,2015,119
TEXAS,2016,403
TEXAS,2017,469
TEXAS,2018,505
TEXAS,2019,448
UTAH,2015,5
UTAH,2016,21
UTAH,2017,20
UTAH,2018,17
UTAH,2019,21
VERMONT,2015,1
VERMONT,2016,7
VERMONT,2017,4
VERMONT,2018,2
VERMONT,2019,5
VIRGINIA,2015,20
VIRGINIA,2016,90
VIRGINIA,2017,93
VIRGINIA,2018,106
VIRGINIA,2019,90
WASHINGTON,2015,15
WASHINGTON,2016,28
WASHINGTON,2017,40
WASHINGTON,2018,36
WASHINGTON,2019,37
WEST VIRGINIA,2015,6
WEST VIRGINIA,2016,26
WEST VIRGINIA,2017,29
WEST VIRGINIA,2018,34
WEST VIRGINIA,2019,28
WISCONSIN,2015,15
WISCONSIN,2016,66
WISCONSIN,2017,43
WISCONSIN,2018,52
WISCONSIN,2019,49
WYOMING,2015,2
WYOMING,2016,11
WYOMING,2017,8
WYOMING,2018,6
WYOMING,2019,9
